FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1507
1000unsorted.txt,1000,3.2390
5000sorted.txt,5000,0.0173
5000unsorted.txt,5000,74.1071
10000sorted.txt,10000,0.0229
10000unsorted.txt,10000,329.0230
50000sorted.txt,50000,0.1102
50000unsorted.txt,50000,8569.5310
75000sorted.txt,75000,0.1707
75000unsorted.txt,75000,18535.5029
100000sorted.txt,100000,0.2169
100000unsorted.txt,100000,32921.9758
500000sorted.txt,500000,1.0986
500000unsorted.txt,500000,838111.2602
1000000sorted.txt,1000000,2.2605
1000000unsorted.txt,1000000,3310701.1424
