FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1024
1000unsorted.txt,1000,2.2311
5000sorted.txt,5000,0.0117
5000unsorted.txt,5000,75.5605
10000sorted.txt,10000,0.0224
10000unsorted.txt,10000,318.8022
50000sorted.txt,50000,0.1230
50000unsorted.txt,50000,8386.2285
75000sorted.txt,75000,0.2040
75000unsorted.txt,75000,18842.4247
100000sorted.txt,100000,0.2532
100000unsorted.txt,100000,33735.8673
500000sorted.txt,500000,1.1509
500000unsorted.txt,500000,840481.4480
1000000sorted.txt,1000000,3.2987
1000000unsorted.txt,1000000,3320250.3542
