FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1012
1000unsorted.txt,1000,2.8287
5000sorted.txt,5000,0.0175
5000unsorted.txt,5000,74.8572
10000sorted.txt,10000,0.0283
10000unsorted.txt,10000,315.8356
50000sorted.txt,50000,0.1873
50000unsorted.txt,50000,8387.9411
75000sorted.txt,75000,0.1689
75000unsorted.txt,75000,18966.5325
100000sorted.txt,100000,0.2301
100000unsorted.txt,100000,33536.0116
500000sorted.txt,500000,1.1674
500000unsorted.txt,500000,841318.8134
1000000sorted.txt,1000000,2.2468
1000000unsorted.txt,1000000,3302691.4267
