FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.0923
1000unsorted.txt,1000,3.0798
5000sorted.txt,5000,0.0161
5000unsorted.txt,5000,80.4232
10000sorted.txt,10000,0.0392
10000unsorted.txt,10000,354.9024
50000sorted.txt,50000,0.1576
50000unsorted.txt,50000,9196.8827
75000sorted.txt,75000,0.2386
75000unsorted.txt,75000,20932.8298
100000sorted.txt,100000,0.3148
100000unsorted.txt,100000,36869.4885
500000sorted.txt,500000,1.6026
500000unsorted.txt,500000,933795.7022
1000000sorted.txt,1000000,3.3692
1000000unsorted.txt,1000000,3721910.2279
