FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1273
1000unsorted.txt,1000,3.1329
5000sorted.txt,5000,0.0198
5000unsorted.txt,5000,78.8720
10000sorted.txt,10000,0.0349
10000unsorted.txt,10000,340.6033
50000sorted.txt,50000,0.1824
50000unsorted.txt,50000,8973.9648
75000sorted.txt,75000,0.2343
75000unsorted.txt,75000,20291.5875
100000sorted.txt,100000,0.3108
100000unsorted.txt,100000,36244.5958
500000sorted.txt,500000,1.7040
500000unsorted.txt,500000,916636.5017
1000000sorted.txt,1000000,3.3439
1000000unsorted.txt,1000000,3656019.7736
