FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.4061
1000unsorted.txt,1000,0.6332
5000sorted.txt,5000,0.2740
5000unsorted.txt,5000,16.4769
10000sorted.txt,10000,0.6030
10000unsorted.txt,10000,58.8550
50000sorted.txt,50000,3.4430
50000unsorted.txt,50000,1249.9241
75000sorted.txt,75000,5.3137
75000unsorted.txt,75000,2743.2296
100000sorted.txt,100000,7.4074
100000unsorted.txt,100000,4637.5178
500000sorted.txt,500000,43.8576
500000unsorted.txt,500000,130473.1714
1000000sorted.txt,1000000,92.2678
1000000unsorted.txt,1000000,525643.3860
