FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1629
1000unsorted.txt,1000,0.5796
5000sorted.txt,5000,0.3122
5000unsorted.txt,5000,12.5125
10000sorted.txt,10000,0.5661
10000unsorted.txt,10000,51.0613
50000sorted.txt,50000,3.6079
50000unsorted.txt,50000,1168.6444
75000sorted.txt,75000,5.7792
75000unsorted.txt,75000,2625.8858
100000sorted.txt,100000,7.3784
100000unsorted.txt,100000,4598.9204
500000sorted.txt,500000,43.1839
500000unsorted.txt,500000,127309.2711
1000000sorted.txt,1000000,92.7885
1000000unsorted.txt,1000000,513345.2421
