FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,1.2375
1000unsorted.txt,1000,1.7705
5000sorted.txt,5000,31.5407
5000unsorted.txt,5000,28.0036
10000sorted.txt,10000,98.7013
10000unsorted.txt,10000,85.0545
50000sorted.txt,50000,2176.1069
50000unsorted.txt,50000,2020.4648
75000sorted.txt,75000,4768.8748
75000unsorted.txt,75000,4526.2935
100000sorted.txt,100000,8451.7729
100000unsorted.txt,100000,8030.3793
500000sorted.txt,500000,212140.7110
500000unsorted.txt,500000,202760.5214
1000000sorted.txt,1000000,837407.9690
1000000unsorted.txt,1000000,794857.7679
