FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.9524
1000unsorted.txt,1000,0.8265
5000sorted.txt,5000,23.3587
5000unsorted.txt,5000,21.8293
10000sorted.txt,10000,84.5899
10000unsorted.txt,10000,83.6713
50000sorted.txt,50000,2167.0346
50000unsorted.txt,50000,2010.1205
75000sorted.txt,75000,4613.7122
75000unsorted.txt,75000,4451.2676
100000sorted.txt,100000,8185.1959
100000unsorted.txt,100000,7851.9480
500000sorted.txt,500000,209737.5532
500000unsorted.txt,500000,199498.8243
1000000sorted.txt,1000000,829429.5337
1000000unsorted.txt,1000000,790987.6036
