FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,1.0438
1000unsorted.txt,1000,1.0780
5000sorted.txt,5000,29.7073
5000unsorted.txt,5000,26.7556
10000sorted.txt,10000,106.9097
10000unsorted.txt,10000,101.8541
50000sorted.txt,50000,2424.2616
50000unsorted.txt,50000,2383.0482
75000sorted.txt,75000,5320.9709
75000unsorted.txt,75000,5405.7189
100000sorted.txt,100000,9594.1345
100000unsorted.txt,100000,9622.0744
500000sorted.txt,500000,246645.2650
500000unsorted.txt,500000,246859.8611
1000000sorted.txt,1000000,977634.1598
1000000unsorted.txt,1000000,981691.3448
