FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,3.6595
1000unsorted.txt,1000,1.6391
5000sorted.txt,5000,49.3423
5000unsorted.txt,5000,30.0870
10000sorted.txt,10000,138.9521
10000unsorted.txt,10000,142.3933
50000sorted.txt,50000,2655.3713
50000unsorted.txt,50000,2823.0894
75000sorted.txt,75000,5431.4417
75000unsorted.txt,75000,5411.3131
100000sorted.txt,100000,9478.0920
100000unsorted.txt,100000,9572.5255
500000sorted.txt,500000,244826.5951
500000unsorted.txt,500000,243697.6608
1000000sorted.txt,1000000,970432.9195
1000000unsorted.txt,1000000,972888.9156
