FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1005
1000unsorted.txt,1000,0.6545
5000sorted.txt,5000,0.0247
5000unsorted.txt,5000,21.6791
10000sorted.txt,10000,0.0331
10000unsorted.txt,10000,69.5214
50000sorted.txt,50000,0.1644
50000unsorted.txt,50000,1832.8643
75000sorted.txt,75000,0.3059
75000unsorted.txt,75000,3921.0399
100000sorted.txt,100000,0.4169
100000unsorted.txt,100000,6885.1868
500000sorted.txt,500000,1.6509
500000unsorted.txt,500000,186972.3890
1000000sorted.txt,1000000,3.3911
1000000unsorted.txt,1000000,728278.8850
