FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1079
1000unsorted.txt,1000,0.8409
5000sorted.txt,5000,0.0162
5000unsorted.txt,5000,23.5232
10000sorted.txt,10000,0.0408
10000unsorted.txt,10000,70.7505
50000sorted.txt,50000,0.2278
50000unsorted.txt,50000,2463.5791
75000sorted.txt,75000,0.3416
75000unsorted.txt,75000,4335.0825
100000sorted.txt,100000,0.4181
100000unsorted.txt,100000,6723.4462
500000sorted.txt,500000,1.7386
500000unsorted.txt,500000,176037.2688
1000000sorted.txt,1000000,3.3216
1000000unsorted.txt,1000000,704975.7150
