FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.4874
1000unsorted.txt,1000,0.1197
5000sorted.txt,5000,0.1124
5000unsorted.txt,5000,0.4295
10000sorted.txt,10000,0.3122
10000unsorted.txt,10000,0.8803
50000sorted.txt,50000,2.2040
50000unsorted.txt,50000,6.0808
75000sorted.txt,75000,5.0487
75000unsorted.txt,75000,33.5986
100000sorted.txt,100000,11.4790
100000unsorted.txt,100000,11.7346
500000sorted.txt,500000,25.8593
500000unsorted.txt,500000,68.7685
1000000sorted.txt,1000000,57.7208
1000000unsorted.txt,1000000,137.5033
