FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.4860
1000unsorted.txt,1000,0.0532
5000sorted.txt,5000,0.1325
5000unsorted.txt,5000,0.3520
10000sorted.txt,10000,0.3483
10000unsorted.txt,10000,0.9338
50000sorted.txt,50000,2.1937
50000unsorted.txt,50000,5.7719
75000sorted.txt,75000,3.8278
75000unsorted.txt,75000,33.5190
100000sorted.txt,100000,18.2910
100000unsorted.txt,100000,12.5547
500000sorted.txt,500000,27.9199
500000unsorted.txt,500000,70.5131
1000000sorted.txt,1000000,58.9685
1000000unsorted.txt,1000000,142.6440
